MovieID,MovieTitle,YearReleased,Genre,ContentRating,Director,RunningTime,Actor1,Actor2,Actor3,Actor4,AvgRating,UserID,FirstName,LastName,Email,UserRating,UserReview
46,Boy expect table buy.,1994,fantasy,PG,James Garcia,10:40:38,Rebecca Hunt,Timothy Thompson,Dillon Hester,Diane Cortez,4.7,15,Pamela,Banks,aaron28@deleon.com,4.2,"['Local see home mean customer stop.', 'Purpose huge data serious act girl evidence.', 'As prevent none stay within anything.']"
33,Want expert stop.,1980,science fiction,R,Bryan Richards,07:04:46,Michael Ochoa,James Mccarthy,Nicole Schmidt,Matthew Miller,7.0,15,Madison,Watson,danielle51@hotmail.com,1.2,"['Describe type shake end.', 'Along plant religious across.', 'Front clear far.']"
10,Maybe about food hour.,1990,romance,PG-13,Joseph Copeland,12:37:10,Brian Owen,Lisa Bell,Terri Francis,Courtney Richardson,6.9,11,Eric,Smith,kellypatterson@gmail.com,6.9,"['Particular study walk question.', 'Either improve institution be reveal.', 'Forward big growth education firm.']"
17,Nice democratic truth.,2003,comedy,G,Kelly Adams,13:24:39,Jodi Knight,Sarah Kaufman,Anthony Woodard,Mr. Frank Fisher,3.3,5,Elizabeth,Hernandez,angela88@robinson-tapia.com,5.2,"['Agency imagine key relationship.', 'Season him lay fund against arm.', 'Describe occur city stuff person hold air.']"
44,They Mr southern water.,2002,musical,NC-17,Samantha Gonzalez,10:38:40,Angela Ray,Margaret Spencer,Mason Martinez,Steven Nelson,2.4,4,Gerald,Miller,qmcintosh@yahoo.com,7.2,"['Response building care somebody will per movement end.', 'Far simply get worker hear staff debate success.', 'Meet do maybe authority ability after.']"
48,Thank the expect culture.,2010,action,NC-17,Yvonne Huerta,13:46:49,Gina Jones,James Weeks,Richard Stanley,Cynthia Steele,7.2,15,Allison,Austin,rhondaquinn@snyder.com,6.0,"['Artist challenge simply top natural glass.', 'Win look consider subject reduce east.', 'Opportunity culture peace set describe.']"
25,In couple check role.,2019,crime,PG,Rachel Mckinney,00:19:26,Jennifer Roberts,Allen Martinez,Richard Torres,Micheal Bright,2.3,35,Charles,Flores,taylorpeter@simpson-wilson.com,3.3,"['Oil way your face.', 'Effort ten speak more miss.', 'Personal she bag store food black single effect.']"
9,Story have wonder big.,2000,fantasy,PG,Alicia Jenkins,02:11:37,Jeanne Hoover,Kevin Brown,Gary Hoover,Jonathan Larson,6.1,43,Rachael,Santos,vanessasmith@jimenez.com,9.4,"['Street business structure.', 'Raise man process everything civil customer.', 'Dream Democrat together specific bag factor.']"
27,Cost suggest hundred area.,2006,animation,G,Jacqueline Scott,17:43:38,Hector Pacheco,Nathaniel Adams,Edward Lynch,Mrs. Michele Barton,1.3,24,Rachel,May,martinezdonna@edwards.org,8.7,"['Go civil sign choice.', 'Seat evidence game late young avoid yard.', 'It quality available carry.']"
14,Senior might shoulder sure.,1998,action,NC-17,Matthew Key,01:25:05,Aaron Powell,Anthony Johnson,Karen Fuller,William Bradley,6.4,25,Sarah,Torres,jsnow@sanchez-barnes.net,9.2,"['National real seven increase pick.', 'Focus board right old.', 'Language whatever laugh explain with performance.']"
